origin,greedy
5.76E+01,4.78E+01
4.04E+01,3.51E+01
4.47E+02,4.22E+02
4.43E+02,3.99E+02
4.47E+02,4.18E+02
4.46E+02,4.40E+02
4.55E+02,4.43E+02
4.57E+02,4.40E+02
4.48E+02,4.32E+02
4.61E+02,4.54E+02
4.63E+02,4.51E+02
4.62E+02,4.50E+02
4.67E+02,4.55E+02
4.70E+02,4.51E+02
4.55E+02,4.56E+02
4.29E+02,4.58E+02
4.84E+02,4.79E+02
5.22E+02,5.02E+02
4.78E+02,4.86E+02
5.30E+02,4.96E+02
5.04E+02,5.04E+02
5.21E+02,4.95E+02
5.33E+02,4.99E+02
5.16E+02,5.08E+02
5.39E+02,4.95E+02
5.36E+02,4.89E+02
5.32E+02,4.93E+02
5.18E+02,4.97E+02
5.41E+02,5.08E+02
5.57E+02,5.27E+02
5.40E+02,5.22E+02
5.51E+02,5.18E+02
5.55E+02,5.26E+02
5.57E+02,5.22E+02
5.62E+02,5.28E+02
5.67E+02,5.29E+02
5.59E+02,5.26E+02
5.48E+02,5.37E+02
5.72E+02,5.37E+02
5.73E+02,5.30E+02
5.86E+02,5.45E+02
5.85E+02,5.40E+02
5.80E+02,5.41E+02
5.81E+02,5.57E+02
5.84E+02,5.57E+02
5.93E+02,5.51E+02
5.96E+02,5.64E+02
6.02E+02,5.59E+02
6.11E+02,5.61E+02
6.13E+02,5.59E+02
6.02E+02,5.79E+02
6.12E+02,5.72E+02
6.13E+02,5.72E+02
6.08E+02,5.74E+02
6.13E+02,5.78E+02
6.09E+02,5.76E+02
6.14E+02,5.85E+02
6.10E+02,5.82E+02
6.19E+02,5.86E+02
6.16E+02,5.91E+02
6.18E+02,5.92E+02
6.24E+02,5.99E+02
6.18E+02,5.95E+02
6.14E+02,6.03E+02
6.21E+02,6.00E+02
6.22E+02,6.11E+02
6.26E+02,6.06E+02
6.20E+02,6.10E+02
6.27E+02,6.06E+02
6.24E+02,6.04E+02
6.25E+02,6.16E+02
6.27E+02,6.11E+02
6.29E+02,6.17E+02
6.21E+02,6.13E+02
6.27E+02,6.11E+02
6.30E+02,6.13E+02
6.25E+02,6.16E+02
6.29E+02,6.16E+02
6.24E+02,6.22E+02
6.27E+02,6.21E+02
6.28E+02,6.19E+02
6.33E+02,6.26E+02
6.35E+02,6.21E+02
6.32E+02,6.20E+02
6.34E+02,6.24E+02
6.31E+02,6.25E+02
6.30E+02,6.21E+02
6.38E+02,6.21E+02
6.32E+02,6.26E+02
6.35E+02,6.23E+02
6.31E+02,6.21E+02
6.34E+02,6.27E+02
6.34E+02,6.22E+02
6.34E+02,6.29E+02
6.32E+02,6.22E+02
6.31E+02,6.26E+02
6.34E+02,6.23E+02
6.40E+02,6.29E+02
6.37E+02,6.27E+02
6.41E+02,6.30E+02
6.42E+02,6.32E+02
6.37E+02,6.31E+02
6.40E+02,6.34E+02
6.44E+02,6.30E+02
6.40E+02,6.26E+02
6.42E+02,6.30E+02
6.43E+02,6.29E+02
6.30E+02,6.31E+02
6.46E+02,6.28E+02
6.38E+02,6.27E+02
6.45E+02,6.32E+02
6.36E+02,6.33E+02
6.41E+02,6.30E+02
6.40E+02,6.33E+02
6.45E+02,6.28E+02
6.45E+02,6.32E+02
6.42E+02,6.28E+02
6.39E+02,6.27E+02
6.40E+02,6.34E+02
6.46E+02,6.30E+02
6.41E+02,6.32E+02
6.41E+02,6.39E+02
6.43E+02,6.34E+02
6.44E+02,6.32E+02
6.44E+02,6.34E+02
6.47E+02,6.29E+02
6.45E+02,6.28E+02
6.41E+02,6.31E+02
6.44E+02,6.31E+02
6.46E+02,6.33E+02
6.42E+02,6.31E+02
6.45E+02,6.26E+02
6.44E+02,6.33E+02
6.47E+02,6.28E+02
6.43E+02,6.32E+02
6.47E+02,6.33E+02
6.44E+02,6.30E+02
6.42E+02,6.31E+02
6.44E+02,6.32E+02
6.44E+02,6.35E+02
6.48E+02,6.38E+02
6.46E+02,6.25E+02
6.47E+02,6.34E+02
6.49E+02,6.37E+02
6.47E+02,6.34E+02
6.46E+02,6.36E+02
6.50E+02,6.33E+02
6.48E+02,6.34E+02
6.47E+02,6.34E+02
6.49E+02,6.36E+02
6.47E+02,6.30E+02
6.50E+02,6.34E+02
6.45E+02,6.22E+02
6.49E+02,6.19E+02
6.49E+02,6.25E+02
6.44E+02,6.21E+02
6.50E+02,6.21E+02
6.48E+02,6.27E+02
6.47E+02,6.25E+02
6.42E+02,6.25E+02
6.47E+02,6.28E+02
6.50E+02,6.24E+02
6.57E+02,6.25E+02
6.55E+02,6.32E+02
6.50E+02,6.21E+02
6.48E+02,6.26E+02
6.48E+02,6.37E+02
6.50E+02,6.33E+02
6.49E+02,6.23E+02
6.44E+02,6.27E+02
6.48E+02,6.30E+02
6.50E+02,6.26E+02
6.52E+02,6.28E+02
6.51E+02,6.22E+02
6.48E+02,6.31E+02
6.48E+02,6.31E+02
6.54E+02,6.31E+02
6.52E+02,6.35E+02
6.45E+02,6.29E+02
6.53E+02,6.24E+02
6.51E+02,6.29E+02
6.56E+02,6.24E+02
6.54E+02,6.29E+02
6.50E+02,6.30E+02
6.55E+02,6.36E+02
6.52E+02,6.29E+02
6.45E+02,6.36E+02
6.46E+02,6.33E+02
6.52E+02,6.29E+02
6.52E+02,6.35E+02
6.52E+02,6.34E+02
6.58E+02,6.33E+02
6.53E+02,6.32E+02
6.52E+02,6.27E+02
6.53E+02,6.34E+02
6.55E+02,6.26E+02
6.51E+02,6.30E+02
6.51E+02,6.36E+02
6.52E+02,6.29E+02
6.52E+02,6.32E+02
6.52E+02,6.39E+02
6.52E+02,6.32E+02
6.54E+02,6.35E+02
6.51E+02,6.26E+02
6.51E+02,6.31E+02
6.51E+02,6.32E+02
6.50E+02,6.35E+02
6.51E+02,6.31E+02
6.54E+02,6.32E+02
6.55E+02,6.32E+02
6.48E+02,6.30E+02
6.50E+02,6.34E+02
6.56E+02,6.28E+02
6.54E+02,6.36E+02
6.52E+02,6.28E+02
6.52E+02,6.32E+02
6.52E+02,6.35E+02
6.56E+02,6.33E+02
6.57E+02,6.24E+02
6.54E+02,6.33E+02
6.57E+02,6.26E+02
6.47E+02,6.38E+02
6.52E+02,6.28E+02
6.52E+02,6.31E+02
6.50E+02,6.30E+02
6.56E+02,6.33E+02
6.52E+02,6.33E+02
6.53E+02,6.32E+02
6.54E+02,6.28E+02
6.54E+02,6.30E+02
6.56E+02,6.28E+02
6.50E+02,6.22E+02
6.50E+02,6.33E+02
6.52E+02,6.22E+02
6.56E+02,6.31E+02
6.53E+02,6.32E+02
6.55E+02,6.32E+02
6.56E+02,6.30E+02
6.49E+02,6.31E+02
6.52E+02,6.26E+02
6.51E+02,6.32E+02
6.54E+02,6.30E+02
6.54E+02,6.35E+02
6.57E+02,6.27E+02
6.53E+02,6.27E+02
6.55E+02,6.36E+02
6.51E+02,6.26E+02
6.53E+02,6.30E+02
6.51E+02,6.26E+02
6.53E+02,6.26E+02
6.50E+02,6.29E+02
6.49E+02,6.25E+02
6.57E+02,6.33E+02
6.58E+02,6.24E+02
6.54E+02,6.33E+02
6.52E+02,6.23E+02
6.60E+02,6.30E+02
6.56E+02,6.23E+02
6.54E+02,6.25E+02
6.52E+02,6.35E+02
6.54E+02,6.19E+02
6.52E+02,6.38E+02
6.52E+02,6.24E+02
6.58E+02,6.20E+02
6.53E+02,6.30E+02
6.54E+02,6.24E+02
6.51E+02,6.33E+02
6.55E+02,6.28E+02
6.56E+02,6.28E+02
6.55E+02,6.37E+02
6.58E+02,6.30E+02
6.53E+02,6.41E+02
6.55E+02,6.26E+02
6.53E+02,6.32E+02
6.58E+02,6.28E+02
6.56E+02,6.40E+02
6.57E+02,6.28E+02
6.52E+02,6.31E+02
6.48E+02,6.37E+02
6.52E+02,6.30E+02
6.54E+02,6.28E+02
6.54E+02,6.31E+02
6.52E+02,6.32E+02
6.53E+02,6.35E+02
6.54E+02,6.28E+02
6.56E+02,6.32E+02
6.52E+02,6.26E+02
6.58E+02,6.30E+02
6.55E+02,6.34E+02
6.52E+02,6.37E+02
6.53E+02,6.26E+02
6.49E+02,6.29E+02
6.52E+02,6.26E+02
6.52E+02,6.28E+02
6.52E+02,6.27E+02
6.56E+02,6.33E+02
6.56E+02,6.27E+02
6.54E+02,6.34E+02
6.53E+02,6.30E+02
6.55E+02,6.35E+02
6.60E+02,6.25E+02
