DARC,DDPG,TD3,DARC_SE,DDPG_SE,TD3_SE
303.8673329,84.48388422,7.017726043,5.04E+02,1.38E+02,1.38E+02
282.982328,96.48652536,6.014892524,4.84E+02,1.45E+02,1.45E+02
454.6434389,243.2108155,24.10860694,6.14E+02,4.83E+02,2.89E+01
447.5230844,249.5482734,22.83082783,5.96E+02,4.88E+02,2.91E+01
470.101162,308.649941,29.29570993,6.18E+02,5.18E+02,3.69E+01
482.2814735,348.6278948,30.16043392,6.13E+02,3.81E+02,3.71E+01
467.9418115,349.4071914,30.73197494,6.08E+02,3.85E+02,3.73E+01
458.3717678,254.6276646,30.86355603,5.81E+02,3.86E+02,3.66E+01
496.4110519,253.9288384,31.927096,6.57E+02,3.89E+02,3.69E+01
500.1867293,252.1121119,30.53595187,6.12E+02,4.85E+02,3.66E+01
502.2898822,283.5407646,32.11333519,6.47E+02,4.79E+02,3.67E+01
484.006641,288.4526078,434.4539581,5.93E+02,4.85E+02,6.52E+02
501.7598379,257.5509853,432.1861783,6.30E+02,3.77E+02,6.51E+02
448.1243962,258.0199269,436.7171748,5.89E+02,3.76E+02,6.56E+02
463.6689301,324.1453707,430.4558169,6.19E+02,3.76E+02,6.52E+02
443.6407023,313.9783491,436.0593032,5.67E+02,5.10E+02,6.55E+02
519.3156845,314.6577779,427.116707,6.39E+02,3.52E+02,6.50E+02
426.690734,311.9156692,430.2243243,5.44E+02,3.50E+02,6.47E+02
498.2814966,251.8868025,428.5480084,6.30E+02,2.80E+02,6.49E+02
513.9222511,262.2002162,429.3758807,6.49E+02,5.47E+02,6.51E+02
517.0019706,252.4718579,425.481532,6.45E+02,5.47E+02,6.49E+02
509.1703984,242.5261359,435.5496474,6.29E+02,4.40E+02,6.54E+02
503.0385193,238.5370832,431.1396253,6.19E+02,4.44E+02,6.52E+02
503.9149621,228.4533249,435.0699389,6.46E+02,4.42E+02,6.55E+02
523.6515992,235.4164469,430.1889666,6.17E+02,4.41E+02,6.51E+02
505.498663,237.1456005,223.1805929,6.27E+02,5.46E+02,4.75E+02
487.8876459,359.9429505,225.0959226,6.47E+02,5.44E+02,4.80E+02
529.989672,357.9565196,229.4199896,6.31E+02,5.49E+02,4.83E+02
521.9512319,386.370954,225.8309703,6.45E+02,5.46E+02,4.83E+02
518.200546,378.5637445,227.5920359,6.61E+02,4.43E+02,4.80E+02
518.5594145,387.4849469,226.0264926,6.45E+02,3.74E+02,4.82E+02
534.6272405,442.4158402,226.2538585,6.51E+02,2.37E+02,4.77E+02
535.025334,413.4300262,225.3760077,6.72E+02,4.38E+02,4.83E+02
532.481448,416.6976115,299.8042028,6.68E+02,5.47E+02,5.44E+02
590.3287827,356.2775866,308.2577346,6.41E+02,7.28E+02,5.48E+02
553.7693985,361.9943815,309.6065159,6.36E+02,7.20E+02,5.47E+02
602.3739723,284.3652458,307.0284225,6.34E+02,7.64E+02,5.48E+02
559.1665477,250.5746276,307.8243823,6.49E+02,7.15E+02,5.50E+02
561.0113996,249.8862528,308.2833789,6.53E+02,7.16E+02,5.49E+02
558.9381505,259.2632769,428.2952089,6.40E+02,6.13E+02,6.47E+02
565.9761541,258.7667748,434.8335803,6.35E+02,6.46E+02,6.52E+02
570.5045479,258.4828672,436.654467,6.33E+02,7.18E+02,6.54E+02
561.7043284,340.4745605,428.8457356,6.34E+02,7.12E+02,6.49E+02
578.7103802,346.4553172,429.6919614,6.33E+02,7.16E+02,6.51E+02
